specimen,pause_group,pixel_row,pixel_col,pixel_flat,T1,T2,T3,T4,T5,T6,delta_T1,delta_T2,delta_T3,delta_T4,delta_T5,delta_T6,T_mean_across_layers,T_std_across_layers
Rec-022_10s_1,10s,0,0,0,115.12,116.3527,119.7367,121.3114,122.035,119.8007,0.0,1.2327,4.6167,6.1914,6.915,4.6807,119.0594,2.7488
Rec-022_10s_1,10s,0,1,1,105.7927,108.1136,110.546,112.2786,112.81,111.8921,0.0,2.3209,4.7533,6.4859,7.0173,6.0994,110.2388,2.7526
Rec-022_10s_1,10s,0,2,2,100.1682,103.03,104.8667,106.3079,106.9292,106.5021,0.0,2.8618,4.6985,6.1397,6.761,6.3339,104.634,2.6127
Rec-022_10s_1,10s,0,3,3,96.3227,99.4291,101.104,102.355,102.5858,102.5871,0.0,3.1064,4.7813,6.0323,6.2631,6.2644,100.7306,2.4815
Rec-022_10s_1,10s,0,4,4,93.6073,97.0609,98.2467,99.9121,99.3758,100.2993,0.0,3.4536,4.6394,6.3048,5.7685,6.692,98.0837,2.4913
Rec-022_10s_1,10s,0,5,5,97.3591,100.9573,102.7687,104.0221,104.6233,104.68,0.0,3.5982,5.4096,6.663,7.2642,7.3209,102.4017,2.8426
Rec-022_10s_1,10s,0,6,6,94.5455,98.0982,99.946,101.1529,101.6825,101.8886,0.0,3.5527,5.4005,6.6074,7.137,7.3431,99.5523,2.8247
Rec-022_10s_1,10s,0,7,7,92.2764,95.7782,97.5573,98.9064,99.2408,99.485,0.0,3.5018,5.2809,6.63,6.9644,7.2086,97.2074,2.7817
Rec-022_10s_1,10s,0,8,8,90.4982,94.3491,95.786,96.9264,97.2067,97.6636,0.0,3.8509,5.2878,6.4282,6.7085,7.1654,95.405,2.6832
Rec-022_10s_1,10s,0,9,9,89.1664,92.9173,94.1213,95.7657,95.2608,96.5786,0.0,3.7509,4.9549,6.5993,6.0944,7.4122,93.9683,2.6796
Rec-024_90s_1,90s,0,0,0,107.1392,116.93,117.023,117.5529,116.4556,122.5431,0.0,9.7908,9.8838,10.4137,9.3164,15.4039,116.274,5.0081
Rec-024_90s_1,90s,0,1,1,98.9969,108.2079,109.101,109.5264,109.6422,113.4008,0.0,9.211,10.1041,10.5295,10.6453,14.4039,108.1459,4.8245
Rec-024_90s_1,90s,0,2,2,94.1123,102.47,104.159,104.5257,104.6378,107.8054,0.0,8.3577,10.0467,10.4134,10.5255,13.6931,102.9517,4.6627
Rec-024_90s_1,90s,0,3,3,90.7292,98.5943,100.146,100.9586,101.4389,103.7985,0.0,7.8651,9.4168,10.2294,10.7097,13.0693,99.2776,4.5218
Rec-024_90s_1,90s,0,4,4,88.5608,95.765,97.649,98.595,99.2689,101.3331,0.0,7.2042,9.0882,10.0342,10.7081,12.7723,96.862,4.4614
Rec-024_90s_1,90s,0,5,5,91.1492,99.0221,100.09,102.1214,102.2856,104.9677,0.0,7.8729,8.9408,10.9722,11.1364,13.8185,99.9393,4.7683
Rec-024_90s_1,90s,0,6,6,88.4762,96.1921,97.486,99.4471,99.6922,102.1685,0.0,7.7159,9.0098,10.9709,11.216,13.6923,97.2437,4.7568
Rec-024_90s_1,90s,0,7,7,86.0546,93.5164,95.532,97.1593,97.6444,99.5808,0.0,7.4618,9.4774,11.1047,11.5898,13.5262,94.9146,4.7979
Rec-024_90s_1,90s,0,8,8,84.3023,91.7336,93.85,95.5707,96.1978,97.7038,0.0,7.4313,9.5477,11.2684,11.8955,13.4015,93.2264,4.8297
Rec-024_90s_1,90s,0,9,9,83.09,90.2593,92.493,94.68,95.2311,96.6592,0.0,7.1693,9.403,11.59,12.1411,13.5692,92.0688,4.9389
Rec-025_30s_1,30s,0,0,0,109.588,115.0277,116.5158,120.0925,121.7508,122.895,0.0,5.4397,6.9278,10.5045,12.1628,13.307,117.645,4.9689
Rec-025_30s_1,30s,0,1,1,100.851,107.18,108.4208,111.4508,113.0662,113.8492,0.0,6.329,7.5698,10.5998,12.2152,12.9982,109.1363,4.8166
Rec-025_30s_1,30s,0,2,2,95.533,102.0023,103.4008,105.8867,107.7646,107.925,0.0,6.4693,7.8678,10.3537,12.2316,12.392,103.7521,4.6649
Rec-025_30s_1,30s,0,3,3,91.733,98.2885,100.0075,101.9992,103.6292,103.8533,0.0,6.5555,8.2745,10.2662,11.8962,12.1203,99.9184,4.5442
Rec-025_30s_1,30s,0,4,4,89.128,95.4069,97.9758,99.0592,100.8331,100.5517,0.0,6.2789,8.8478,9.9312,11.7051,11.4237,97.1591,4.4012
Rec-025_30s_1,30s,0,5,5,92.928,98.9138,101.23,103.2208,105.6769,105.7983,0.0,5.9858,8.302,10.2928,12.7489,12.8703,101.2946,4.8759
Rec-025_30s_1,30s,0,6,6,90.157,96.3246,98.5175,100.5075,102.5446,102.9033,0.0,6.1676,8.3605,10.3505,12.3876,12.7463,98.4924,4.7774
Rec-025_30s_1,30s,0,7,7,87.716,94.1546,96.21,98.11,99.9985,100.19,0.0,6.4386,8.494,10.394,12.2825,12.474,96.0632,4.6914
Rec-025_30s_1,30s,0,8,8,85.599,92.1515,94.7183,96.3917,97.9546,98.2008,0.0,6.5525,9.1193,10.7927,12.3556,12.6018,94.1693,4.7612
