specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,292,333,302,336,1.0,True,95.063,120.498,87.9333,6.1856,92.818,"120.50,111.81,106.93,103.13,100.42,99.87,98.79,98.25,98.25,97.16,96.62,98.25,98.25,97.16,95.53,95.53,94.99,94.99,94.45,94.45,94.45,93.36,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.73,87.93,87.93,89.02,89.56,90.10,90.65,90.65,90.10,90.10,90.10,89.56"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,295,333,305,336,1.0,True,96.2595,123.2118,89.5616,6.5498,94.4463,"123.21,113.99,108.56,105.30,102.04,100.42,98.79,98.25,97.70,96.62,95.53,103.67,102.04,99.33,97.70,96.62,95.53,95.53,94.45,94.45,93.36,92.28,96.07,95.53,94.99,94.45,94.45,93.36,93.36,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19,91.19,91.19,91.19,91.19,90.65,90.10,89.56"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,299,333,309,336,1.0,True,96.6543,129.7247,89.5616,7.5555,94.4463,"129.72,117.78,110.19,105.30,102.04,99.33,98.25,97.70,96.62,95.53,94.99,106.39,103.13,100.42,98.25,96.62,95.53,94.45,94.45,93.36,93.36,92.28,98.25,97.16,95.53,94.45,94.45,93.36,92.28,92.28,92.28,91.73,91.19,93.36,92.28,92.28,91.73,91.19,91.19,91.19,90.65,90.65,90.10,89.56"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,304,333,314,336,1.0,True,95.3837,121.5835,89.5616,6.0486,93.3608,"121.58,111.81,106.39,102.04,99.33,98.25,97.16,96.07,95.53,94.45,94.45,103.67,100.96,98.25,96.62,95.53,94.45,93.36,93.36,92.28,92.28,91.73,97.16,95.53,94.99,94.45,93.36,92.28,92.28,92.28,91.19,91.19,91.19,92.28,92.28,92.28,91.19,91.19,91.19,91.19,90.65,90.10,89.56,89.56"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,308,333,318,336,1.0,True,95.6551,125.9255,89.5616,6.8152,93.3608,"125.93,113.99,108.01,103.13,99.87,97.70,96.62,95.53,95.53,94.45,94.45,105.30,102.04,98.79,96.62,95.53,94.45,93.36,92.28,92.28,92.28,91.73,98.25,96.07,94.99,94.45,93.36,92.28,92.28,91.73,91.19,91.19,90.65,93.36,92.28,92.28,91.73,91.19,91.19,90.65,90.65,90.10,89.56,89.56"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,313,333,323,336,1.0,True,94.693,117.2416,89.5616,5.2678,93.3608,"117.24,109.64,103.67,100.42,98.25,96.62,95.53,95.53,94.99,94.45,94.45,102.04,99.87,97.16,95.53,94.45,93.36,93.36,93.36,92.28,92.28,92.28,96.62,95.53,93.36,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19,92.28,92.28,91.73,91.19,91.19,90.65,90.65,90.10,90.10,89.56,89.56"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,317,333,327,336,1.0,True,95.4701,121.5835,90.1043,5.8732,93.3608,"121.58,111.81,105.84,102.04,98.79,97.16,96.62,96.07,95.53,95.53,94.99,103.13,100.96,98.25,96.07,94.99,94.45,94.45,93.36,93.36,93.36,93.36,96.62,95.53,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.73,91.73,92.28,92.28,91.73,91.19,91.19,91.19,91.19,91.19,90.65,90.65,90.10"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,322,333,332,336,1.0,True,95.5071,116.6988,90.6471,4.9297,94.4463,"116.70,109.10,104.22,100.96,98.79,97.70,97.16,96.62,96.07,95.53,94.99,102.04,99.87,97.70,96.07,95.53,94.99,94.45,94.45,94.45,93.36,93.36,96.62,95.53,94.45,94.45,93.36,93.36,93.36,92.28,92.28,92.28,92.28,93.36,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19,91.19,90.65"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,326,333,336,336,1.0,True,96.3706,121.0408,91.1898,5.7023,94.7176,"121.04,111.81,106.39,103.13,100.42,98.79,97.70,97.16,96.62,96.07,95.53,104.22,101.50,98.79,97.70,96.62,95.53,94.99,94.99,94.45,94.45,94.45,97.70,96.07,95.53,94.45,94.45,94.45,93.36,93.36,92.28,92.28,92.28,93.36,93.36,92.28,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,331,333,341,336,1.0,True,96.1979,115.6133,91.1898,4.7722,94.989,"115.61,109.10,105.30,101.50,99.33,98.25,98.25,97.70,97.16,97.16,96.62,103.13,100.42,98.25,97.16,96.07,95.53,95.53,94.99,94.99,94.99,94.45,97.16,96.07,94.99,94.99,94.45,94.45,93.36,93.36,93.36,93.36,92.28,93.36,93.36,92.28,92.28,92.28,92.28,92.28,91.73,91.19,91.19,91.19"
