specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-027_std_2,1,1,1125,core,290,331,0.0,0.0,0.984,294,333,302,336,1.0,True,94.2654,106.9294,89.0188,4.0676,92.818,"106.93,103.13,100.42,99.87,98.79,98.25,98.25,97.16,96.62,97.16,95.53,95.53,94.99,94.99,94.45,94.45,94.45,93.36,92.28,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.73,89.02,89.56,90.10,90.65,90.65,90.10,90.10,90.10,89.56"
Rec-027_std_2,1,2,1126,core,293,331,0.0,3.0,0.9832,297,333,305,336,1.0,True,94.9589,108.5576,89.5616,4.235,94.4463,"108.56,105.30,102.04,100.42,98.79,98.25,97.70,96.62,95.53,99.33,97.70,96.62,95.53,95.53,94.45,94.45,93.36,92.28,94.99,94.45,94.45,93.36,93.36,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19,91.19,91.19,90.65,90.10,89.56"
Rec-027_std_2,1,3,1127,core,297,331,0.0,4.0,0.9817,301,333,309,336,1.0,True,94.8533,110.1859,89.5616,4.3633,93.9035,"110.19,105.30,102.04,99.33,98.25,97.70,96.62,95.53,94.99,100.42,98.25,96.62,95.53,94.45,94.45,93.36,93.36,92.28,95.53,94.45,94.45,93.36,92.28,92.28,92.28,91.73,91.19,92.28,91.73,91.19,91.19,91.19,90.65,90.65,90.10,89.56"
Rec-027_std_2,1,4,1128,core,302,331,0.0,5.0,0.9845,306,333,314,336,1.0,True,93.9337,106.3867,89.5616,3.5566,92.818,"106.39,102.04,99.33,98.25,97.16,96.07,95.53,94.45,94.45,98.25,96.62,95.53,94.45,93.36,93.36,92.28,92.28,91.73,94.99,94.45,93.36,92.28,92.28,92.28,91.19,91.19,91.19,92.28,91.19,91.19,91.19,91.19,90.65,90.10,89.56,89.56"
Rec-027_std_2,1,5,1129,core,306,331,0.0,4.0,0.9825,310,333,318,336,1.0,True,93.9337,108.0149,89.5616,3.827,92.2753,"108.01,103.13,99.87,97.70,96.62,95.53,95.53,94.45,94.45,98.79,96.62,95.53,94.45,93.36,92.28,92.28,92.28,91.73,94.99,94.45,93.36,92.28,92.28,91.73,91.19,91.19,90.65,92.28,91.73,91.19,91.19,90.65,90.65,90.10,89.56,89.56"
Rec-027_std_2,1,6,1130,core,311,331,0.0,5.0,0.9854,315,333,323,336,1.0,True,93.3608,103.6729,89.5616,3.0192,92.2753,"103.67,100.42,98.25,96.62,95.53,95.53,94.99,94.45,94.45,97.16,95.53,94.45,93.36,93.36,93.36,92.28,92.28,92.28,93.36,93.36,92.28,92.28,92.28,91.19,91.19,91.19,91.19,91.73,91.19,91.19,90.65,90.65,90.10,90.10,89.56,89.56"
Rec-027_std_2,1,7,1131,core,315,331,0.0,4.0,0.9827,319,333,327,336,1.0,True,94.0694,105.8439,90.1043,3.2811,93.3608,"105.84,102.04,98.79,97.16,96.62,96.07,95.53,95.53,94.99,98.25,96.07,94.99,94.45,94.45,93.36,93.36,93.36,93.36,94.45,93.36,93.36,92.28,92.28,92.28,91.73,91.73,91.73,91.73,91.19,91.19,91.19,91.19,91.19,90.65,90.65,90.10"
Rec-027_std_2,1,8,1132,core,320,331,0.0,5.0,0.9855,324,333,332,336,1.0,True,94.3558,104.2157,90.6471,2.9326,93.9035,"104.22,100.96,98.79,97.70,97.16,96.62,96.07,95.53,94.99,97.70,96.07,95.53,94.99,94.45,94.45,94.45,93.36,93.36,94.45,94.45,93.36,93.36,93.36,92.28,92.28,92.28,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19,91.19,90.65"
Rec-027_std_2,1,9,1133,core,324,331,0.0,4.0,0.9823,328,333,336,336,1.0,True,95.0342,106.3867,91.1898,3.3807,94.4463,"106.39,103.13,100.42,98.79,97.70,97.16,96.62,96.07,95.53,98.79,97.70,96.62,95.53,94.99,94.99,94.45,94.45,94.45,95.53,94.45,94.45,94.45,93.36,93.36,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.73,91.19,91.19,91.19,91.19"
Rec-027_std_2,1,10,1134,core,329,331,0.0,5.0,0.9854,333,333,341,336,1.0,True,95.1247,105.3012,91.1898,3.0472,94.989,"105.30,101.50,99.33,98.25,98.25,97.70,97.16,97.16,96.62,98.25,97.16,96.07,95.53,95.53,94.99,94.99,94.99,94.45,94.99,94.99,94.45,94.45,93.36,93.36,93.36,93.36,92.28,92.28,92.28,92.28,92.28,92.28,91.73,91.19,91.19,91.19"
