specimen,layer_index,obs_index,frame_idx,frame_type,tip_x,tip_y,direction_deg,movement_px,confidence,roi_c0,roi_r0,roi_c1,roi_r1,roi_valid_frac,roi_complete,roi_mean_C,roi_max_C,roi_min_C,roi_std_C,roi_median_C,roi_pixels_raw
Rec-022_10s_1,1,1,2794,core,290,339,0.0,0.0,0.8873,293,334,297,335,1.0,True,88.1504,93.3608,85.2196,2.7908,87.3906,"93.36,91.73,90.10,89.56,88.48,86.31,85.76,85.76,85.22,85.22"
Rec-022_10s_1,1,2,2795,core,295,339,0.0,5.0,0.9033,298,334,302,335,1.0,True,90.3214,98.7882,85.2196,4.0412,89.5616,"98.79,95.53,92.28,90.10,88.48,90.65,89.02,87.39,85.76,85.22"
Rec-022_10s_1,1,3,2796,core,300,339,0.0,5.0,0.8988,303,334,307,335,1.0,True,88.3132,95.5318,84.1341,3.3196,87.662,"95.53,92.28,89.56,87.93,86.85,89.02,87.39,85.76,84.68,84.13"
Rec-022_10s_1,1,4,2797,core,309,339,0.0,9.0,0.8806,312,334,316,335,1.0,True,86.5222,93.3608,83.0486,3.0817,85.7624,"93.36,90.10,87.93,86.31,85.22,86.85,85.22,84.13,83.05,83.05"
Rec-022_10s_1,1,5,2798,core,313,339,0.0,4.0,0.8753,316,334,320,335,1.0,True,87.3363,94.4463,83.5914,3.2333,86.5765,"94.45,91.19,89.02,87.39,85.76,87.39,85.76,84.68,84.13,83.59"
Rec-022_10s_1,1,6,2799,core,322,339,0.0,9.0,0.8709,325,334,329,335,1.0,True,89.0188,95.5318,85.7624,2.9429,88.4761,"95.53,92.28,90.65,89.02,87.93,89.02,87.93,86.31,85.76,85.76"
Rec-022_10s_1,1,7,2800,core,327,339,0.0,5.0,0.8726,330,334,334,335,1.0,True,89.5616,93.3608,87.3906,2.0162,89.0188,"93.36,92.28,91.19,90.10,89.56,88.48,87.93,87.93,87.39,87.39"
Rec-022_10s_1,1,8,2801,core,332,339,0.0,5.0,0.8767,335,334,339,335,1.0,True,90.4842,94.4463,88.4761,1.8333,90.3757,"94.45,92.28,91.19,91.19,91.19,89.56,89.02,89.02,88.48,88.48"
Rec-022_10s_1,1,9,2802,core,336,339,0.0,4.0,0.8833,339,334,343,335,1.0,True,91.8954,96.6172,89.5616,2.3287,91.4612,"96.62,94.99,93.36,92.28,91.73,91.19,90.10,89.56,89.56,89.56"
Rec-022_10s_1,1,10,2803,core,345,339,0.0,9.0,0.8828,348,334,352,335,1.0,True,92.8723,98.2455,89.5616,2.5853,92.2753,"98.25,96.07,94.45,93.36,92.28,92.28,91.19,91.19,90.10,89.56"
Rec-022_10s_1,1,11,2804,core,349,339,0.0,4.0,0.8752,352,334,356,335,1.0,True,91.3526,98.7882,85.2196,3.8305,91.1898,"98.79,96.07,93.36,91.19,87.93,92.28,91.19,89.56,87.93,85.22"
Rec-022_10s_1,1,12,2805,core,354,339,0.0,5.0,0.8654,357,334,361,335,0.2,False,78.2725,85.7624,74.9074,3.3527,77.0784,"85.76,80.88,77.62,75.99,75.45,81.96,78.16,76.54,75.45,74.91"
Rec-022_10s_1,1,13,2806,core,355,338,45.0,1.41,0.8602,358,333,362,334,0.0,False,79.2494,88.4761,74.9074,4.0976,77.8925,"88.48,83.05,78.71,77.08,75.99,83.05,78.71,77.08,75.45,74.91"
Rec-022_10s_1,2,1,2942,core,291,339,0.0,1.0,0.8889,294,334,298,335,1.0,True,92.818,98.2455,89.5616,2.7781,92.2753,"98.25,96.62,94.45,93.36,93.36,91.19,90.65,90.65,90.10,89.56"
Rec-022_10s_1,2,2,2943,core,299,339,0.0,8.0,0.8963,302,334,306,335,1.0,True,94.392,103.1302,89.5616,4.0137,93.9035,"103.13,99.33,96.07,94.45,92.28,94.45,93.36,91.19,90.10,89.56"
Rec-022_10s_1,2,3,2944,core,304,339,0.0,5.0,0.8917,307,334,311,335,1.0,True,93.1437,100.9592,89.0188,3.5274,92.0039,"100.96,97.70,94.45,92.28,91.73,93.36,91.73,90.65,89.56,89.02"
Rec-022_10s_1,2,4,2945,core,308,339,0.0,4.0,0.8831,311,334,315,335,1.0,True,93.6864,102.0447,89.0188,3.8546,92.818,"102.04,98.25,95.53,93.36,91.73,94.45,92.28,90.65,89.56,89.02"
Rec-022_10s_1,2,5,2946,core,322,339,0.0,14.0,0.8654,325,334,329,335,1.0,True,93.0351,99.331,89.5616,3.0913,92.2753,"99.33,96.62,94.99,94.45,92.28,92.28,91.19,90.10,89.56,89.56"
Rec-022_10s_1,2,6,2947,core,327,339,0.0,5.0,0.8631,330,334,334,335,1.0,True,93.0894,98.2455,90.6471,2.3313,92.818,"98.25,95.53,94.45,93.36,93.36,92.28,91.19,91.19,90.65,90.65"
Rec-022_10s_1,2,7,2948,core,331,339,0.0,4.0,0.8629,334,334,338,335,1.0,True,94.3377,99.8737,91.1898,2.6456,93.9035,"99.87,97.70,95.53,94.99,94.45,93.36,92.28,92.28,91.73,91.19"
Rec-022_10s_1,2,8,2949,core,336,339,0.0,5.0,0.8637,339,334,343,335,1.0,True,94.8805,99.8737,92.2753,2.4004,94.7176,"99.87,97.70,96.07,95.53,94.99,94.45,93.36,92.28,92.28,92.28"
Rec-022_10s_1,2,9,2950,core,340,339,0.0,4.0,0.8645,343,334,347,335,1.0,True,95.7489,101.502,92.2753,2.65,95.2604,"101.50,98.79,97.16,96.07,95.53,94.99,94.45,93.36,93.36,92.28"
Rec-022_10s_1,2,10,2951,core,345,339,0.0,5.0,0.8648,348,334,352,335,1.0,True,95.3147,100.9592,91.7325,2.6389,94.989,"100.96,98.25,96.62,95.53,94.45,95.53,94.45,93.36,92.28,91.73"
Rec-022_10s_1,2,11,2952,core,349,339,0.0,4.0,0.8616,352,334,356,335,1.0,True,92.7638,100.4165,86.8478,3.8182,92.2753,"100.42,97.16,94.45,92.28,89.02,94.45,92.28,91.19,89.56,86.85"
Rec-022_10s_1,2,12,2953,core,354,339,0.0,5.0,0.8539,357,334,361,335,0.2,False,78.4896,86.3051,74.9074,3.6018,77.0784,"86.31,80.88,77.62,75.99,75.45,83.05,78.71,76.54,75.45,74.91"
Rec-022_10s_1,2,13,2954,core,355,338,45.0,1.41,0.8497,358,333,362,334,0.0,False,79.2494,88.4761,74.9074,4.0832,77.8925,"88.48,83.05,78.71,76.54,75.99,83.05,78.71,77.08,75.99,74.91"
Rec-022_10s_1,3,1,3075,core,290,339,0.0,0.0,0.8838,293,334,297,335,1.0,True,93.4151,98.2455,90.6471,2.5624,92.818,"98.25,96.62,94.99,94.45,94.45,91.19,91.19,90.65,91.19,91.19"
Rec-022_10s_1,3,2,3076,core,292,339,0.0,2.0,0.8946,295,334,299,335,1.0,True,96.2373,103.6729,92.2753,3.5594,95.2604,"103.67,100.96,98.25,96.62,94.99,95.53,94.45,93.36,92.28,92.28"
Rec-022_10s_1,3,3,3077,core,297,339,0.0,5.0,0.8992,300,334,304,335,1.0,True,95.6403,103.1302,91.7325,3.2456,94.989,"103.13,99.33,96.62,95.53,94.45,95.53,94.45,93.36,92.28,91.73"
Rec-022_10s_1,3,4,3078,core,301,339,0.0,4.0,0.8938,304,334,308,335,1.0,True,95.586,103.1302,91.1898,3.5128,94.989,"103.13,99.87,97.16,95.53,93.36,96.07,94.45,93.36,91.73,91.19"
Rec-022_10s_1,3,5,3079,core,306,339,0.0,5.0,0.8872,309,334,313,335,1.0,True,94.3377,100.4165,91.1898,2.776,93.3608,"100.42,97.70,95.53,93.36,93.36,94.99,93.36,92.28,91.19,91.19"
Rec-022_10s_1,3,6,3080,core,310,339,0.0,4.0,0.8809,313,334,317,335,1.0,True,94.8262,101.502,91.1898,3.0611,94.4463,"101.50,98.25,96.07,94.45,93.36,95.53,94.45,92.28,91.19,91.19"
Rec-022_10s_1,3,7,3081,core,315,339,0.0,5.0,0.8736,318,334,322,335,1.0,True,93.5236,99.331,90.1043,2.6595,92.818,"99.33,96.62,94.45,93.36,92.28,94.45,92.28,91.19,91.19,90.10"
Rec-022_10s_1,3,8,3082,core,319,339,0.0,4.0,0.8694,322,334,326,335,1.0,True,94.5005,100.4165,91.7325,2.7294,94.4463,"100.42,97.70,95.53,94.99,94.45,94.45,92.28,91.73,91.73,91.73"
Rec-022_10s_1,3,9,3083,core,324,339,0.0,5.0,0.8687,327,334,331,335,1.0,True,95.2061,100.9592,91.7325,2.6389,94.7176,"100.96,98.25,96.62,94.99,94.45,94.99,94.45,93.36,92.28,91.73"
Rec-022_10s_1,3,10,3084,core,328,339,0.0,4.0,0.8665,331,334,335,335,1.0,True,95.9117,101.502,93.3608,2.5113,95.5318,"101.50,98.79,97.16,96.07,95.53,95.53,94.45,93.36,93.36,93.36"
Rec-022_10s_1,3,11,3085,core,333,339,0.0,5.0,0.8696,336,334,340,335,1.0,True,96.563,101.502,94.4463,2.2305,96.0745,"101.50,99.33,97.70,96.62,96.07,96.07,94.99,94.45,94.45,94.45"
Rec-022_10s_1,3,12,3086,core,337,339,0.0,4.0,0.8693,340,334,344,335,1.0,True,97.9198,103.6729,94.989,2.7375,97.4314,"103.67,101.50,99.33,98.25,97.16,97.70,96.07,95.53,94.99,94.99"
Rec-022_10s_1,3,13,3087,core,342,339,0.0,5.0,0.8717,345,334,349,335,1.0,True,98.1912,103.1302,95.5318,2.4083,97.9741,"103.13,101.50,99.33,98.25,98.25,97.70,96.62,96.07,95.53,95.53"
Rec-022_10s_1,3,14,3088,core,346,339,0.0,4.0,0.8681,349,334,353,335,1.0,True,97.757,104.2157,93.3608,3.215,97.4314,"104.22,102.04,99.33,97.70,95.53,98.25,97.16,95.53,94.45,93.36"
Rec-022_10s_1,3,15,3089,core,351,339,0.0,5.0,0.8629,354,334,358,335,0.8,False,88.6389,99.8737,77.6212,7.3383,90.6471,"99.87,96.07,92.28,83.59,78.71,94.99,92.28,89.02,81.96,77.62"
Rec-022_10s_1,3,16,3090,core,355,338,14.04,4.12,0.8509,358,333,362,334,0.0,False,78.978,87.9333,74.9074,3.9976,77.3498,"87.93,82.51,78.16,76.54,75.45,83.05,78.71,76.54,75.99,74.91"
Rec-024_90s_1,1,1,4801,core,292,339,0.0,3.0,0.8944,295,334,299,335,1.0,True,82.126,90.6471,77.6212,4.0619,81.149,"90.65,87.39,84.13,83.05,80.88,81.42,79.79,78.71,77.62,77.62"
Rec-024_90s_1,1,2,4802,core,296,339,0.0,4.0,0.8998,299,334,303,335,1.0,True,82.4516,91.1898,77.0784,4.2836,81.9631,"91.19,87.93,84.68,83.05,81.42,82.51,80.33,78.71,77.62,77.08"
Rec-024_90s_1,1,3,4803,core,300,339,0.0,4.0,0.8926,303,334,307,335,1.0,True,82.8858,92.2753,77.0784,4.6818,82.2345,"92.28,89.02,85.76,83.05,81.42,83.05,80.88,78.71,77.62,77.08"
Rec-024_90s_1,1,4,4804,core,305,339,0.0,5.0,0.8868,308,334,312,335,1.0,True,81.5289,89.5616,76.5357,3.8745,80.8776,"89.56,86.31,84.13,81.42,80.33,81.42,79.79,78.16,77.62,76.54"
Rec-024_90s_1,1,5,4805,core,309,339,0.0,4.0,0.8797,312,334,316,335,1.0,True,82.3973,91.1898,77.0784,4.2997,81.6918,"91.19,87.93,84.68,83.05,80.88,82.51,80.33,78.71,77.62,77.08"
Rec-024_90s_1,1,6,4806,core,314,339,0.0,5.0,0.8794,317,334,321,335,1.0,True,81.8546,89.5616,77.6212,3.6795,81.4204,"89.56,86.31,84.13,81.96,80.88,81.96,79.79,78.71,77.62,77.62"
Rec-024_90s_1,1,7,4807,core,319,339,0.0,5.0,0.878,322,334,326,335,1.0,True,81.6918,87.9333,78.1639,2.9752,81.4204,"87.93,85.22,83.05,82.51,81.96,80.88,79.79,78.71,78.71,78.16"
Rec-024_90s_1,1,8,4808,core,323,339,0.0,4.0,0.8831,326,334,330,335,1.0,True,83.9713,90.6471,80.3349,3.2205,83.5914,"90.65,87.93,85.76,84.68,84.13,83.05,81.42,80.88,80.88,80.33"
Rec-024_90s_1,1,9,4809,core,328,339,0.0,5.0,0.8868,331,334,335,335,1.0,True,85.0568,91.1898,81.4204,3.0707,84.6769,"91.19,89.02,86.85,85.76,85.22,84.13,83.05,81.96,81.96,81.42"
Rec-024_90s_1,1,10,4810,core,332,339,0.0,4.0,0.8883,335,334,339,335,1.0,True,86.4137,92.2753,83.0486,3.1159,86.0337,"92.28,90.65,88.48,87.39,86.31,85.76,84.13,83.05,83.05,83.05"
Rec-024_90s_1,1,11,4811,core,337,339,0.0,5.0,0.8857,340,334,344,335,1.0,True,86.2508,91.7325,83.0486,2.8353,85.7624,"91.73,89.56,88.48,87.39,86.31,85.22,84.13,83.59,83.05,83.05"
Rec-024_90s_1,1,12,4812,core,341,339,0.0,4.0,0.8808,344,334,348,335,1.0,True,86.3594,92.2753,82.5059,3.1315,85.7624,"92.28,90.65,88.48,87.39,85.76,85.76,84.13,83.59,83.05,82.51"
Rec-024_90s_1,1,13,4813,core,346,339,0.0,5.0,0.8771,349,334,353,335,1.0,True,85.2196,91.1898,80.8776,2.9826,84.6769,"91.19,89.02,86.85,85.76,84.68,84.68,84.13,83.05,81.96,80.88"
Rec-024_90s_1,1,14,4814,core,350,339,0.0,4.0,0.8721,353,334,357,335,0.8,False,83.5371,91.7325,77.6212,4.2836,82.7773,"91.73,89.02,86.31,81.96,78.71,84.68,83.59,81.96,79.79,77.62"
Rec-024_90s_1,1,15,4815,core,354,339,0.0,4.0,0.8648,357,334,361,335,0.0,False,78.9238,85.2196,75.9929,2.7267,78.1639,"85.22,81.96,78.71,77.62,76.54,80.33,78.71,77.62,76.54,75.99"
Rec-024_90s_1,1,16,4816,core,354,338,90.0,1.0,0.8609,357,333,361,334,0.0,False,81.2033,91.1898,76.5357,4.3838,79.7922,"91.19,85.76,81.42,78.71,77.62,84.13,80.88,78.16,77.62,76.54"
Rec-024_90s_1,2,1,4943,core,289,339,0.0,0.0,0.8858,292,334,296,335,1.0,True,89.1816,94.989,85.2196,3.6895,88.2047,"94.99,94.99,92.28,90.65,89.56,86.85,86.31,85.76,85.22,85.22"
Rec-024_90s_1,2,2,4944,core,296,339,0.0,7.0,0.9002,299,334,303,335,1.0,True,89.8872,98.2455,84.6769,4.0412,89.2902,"98.25,94.99,92.28,90.10,89.02,89.56,87.93,86.31,85.76,84.68"
Rec-024_90s_1,2,3,4945,core,300,339,0.0,4.0,0.8952,303,334,307,335,1.0,True,90.1586,98.7882,84.6769,4.1791,89.5616,"98.79,95.53,92.28,90.65,89.02,90.10,87.93,86.85,85.76,84.68"
Rec-024_90s_1,2,4,4946,core,305,339,0.0,5.0,0.8857,308,334,312,335,1.0,True,89.0188,96.6172,84.1341,3.665,88.4761,"96.62,93.36,91.19,89.56,87.93,89.02,87.39,85.76,85.22,84.13"
Rec-024_90s_1,2,5,4947,core,309,339,0.0,4.0,0.88,312,334,316,335,1.0,True,89.2359,97.16,84.1341,3.9527,88.7475,"97.16,94.45,91.19,89.56,87.93,89.56,87.93,85.76,84.68,84.13"
Rec-024_90s_1,2,6,4948,core,314,339,0.0,5.0,0.8736,317,334,321,335,1.0,True,88.1504,94.4463,84.6769,2.9648,87.9333,"94.45,91.73,89.56,88.48,87.93,87.93,86.31,85.76,84.68,84.68"
Rec-024_90s_1,2,7,4949,core,318,339,0.0,4.0,0.8697,321,334,325,335,1.0,True,89.7244,96.0745,85.7624,3.3196,89.2902,"96.07,94.45,91.73,90.10,89.56,89.02,87.93,86.85,85.76,85.76"
Rec-024_90s_1,2,8,4950,core,323,339,0.0,5.0,0.8722,326,334,330,335,1.0,True,90.05,95.5318,86.3051,2.856,89.5616,"95.53,93.36,92.28,91.19,90.10,89.02,87.93,87.93,86.85,86.31"
Rec-024_90s_1,2,9,4951,core,327,339,0.0,4.0,0.8754,330,334,334,335,1.0,True,91.1355,98.2455,87.3906,3.4193,90.3757,"98.25,95.53,93.36,91.19,90.10,90.65,89.56,87.93,87.39,87.39"
Rec-024_90s_1,2,10,4952,core,332,339,0.0,5.0,0.8821,335,334,339,335,1.0,True,90.2129,96.0745,87.3906,2.6456,89.8329,"96.07,93.36,91.19,90.65,90.10,89.56,88.48,87.93,87.39,87.39"
Rec-024_90s_1,2,11,4953,core,336,339,0.0,4.0,0.8801,339,334,343,335,1.0,True,92.7095,97.16,90.1043,2.612,92.5467,"97.16,95.53,94.45,94.45,94.45,90.65,90.10,90.10,90.10,90.10"
Rec-024_90s_1,2,12,4954,core,341,339,0.0,5.0,0.8768,344,334,348,335,1.0,True,94.2292,100.4165,90.1043,3.2128,93.9035,"100.42,98.25,96.07,95.53,94.45,93.36,92.28,91.19,90.65,90.10"
Rec-024_90s_1,2,13,4955,core,345,339,0.0,4.0,0.8696,348,334,352,335,1.0,True,93.5779,100.9592,89.0188,3.6263,92.818,"100.96,98.25,95.53,94.45,92.28,93.36,91.73,90.65,89.56,89.02"
Rec-024_90s_1,2,14,4956,core,350,339,0.0,5.0,0.8611,353,334,357,335,0.8,False,87.1735,96.6172,78.7067,5.4986,87.3906,"96.62,93.36,90.65,85.22,79.79,90.10,88.48,86.31,82.51,78.71"
Rec-024_90s_1,2,15,4957,core,354,339,0.0,4.0,0.8527,357,334,361,335,0.0,False,79.2494,85.7624,75.9929,2.9727,78.1639,"85.76,81.96,78.71,77.62,76.54,81.96,79.79,77.62,76.54,75.99"
Rec-024_90s_1,2,16,4958,core,354,338,90.0,1.0,0.8491,357,333,361,334,0.0,False,81.6375,92.2753,76.5357,4.7203,80.0635,"92.28,85.76,81.42,78.71,77.62,85.76,81.96,78.71,77.62,76.54"
Rec-024_90s_1,3,1,5090,core,289,339,0.0,0.0,0.8861,292,334,296,335,1.0,True,92.9809,99.331,89.0188,3.6331,91.7325,"99.33,98.25,96.07,94.45,92.28,91.19,90.65,89.56,89.02,89.02"
Rec-024_90s_1,3,2,5091,core,293,339,0.0,4.0,0.8994,296,334,300,335,1.0,True,93.9578,102.0447,89.5616,3.8565,93.3608,"102.04,98.79,96.07,94.45,93.36,93.36,91.73,90.65,89.56,89.56"
Rec-024_90s_1,3,3,5092,core,297,339,0.0,4.0,0.8986,300,334,304,335,1.0,True,95.0433,104.2157,89.5616,4.419,94.1749,"104.22,100.42,97.70,95.53,93.36,94.99,93.36,91.19,90.10,89.56"
Rec-024_90s_1,3,4,5093,core,302,339,0.0,5.0,0.8931,305,334,309,335,1.0,True,93.1437,100.9592,88.4761,3.7304,92.0039,"100.96,98.25,94.99,92.28,91.73,93.36,91.73,90.10,89.56,88.48"
Rec-024_90s_1,3,5,5094,core,306,339,0.0,4.0,0.8853,309,334,313,335,1.0,True,93.6864,102.0447,88.4761,3.9898,92.818,"102.04,98.79,95.53,93.36,91.73,94.45,92.28,90.65,89.56,88.48"
Rec-024_90s_1,3,6,5095,core,311,339,0.0,5.0,0.88,314,334,318,335,1.0,True,92.2753,99.8737,87.9333,3.6246,91.4612,"99.87,97.16,94.45,91.73,91.19,91.73,90.65,89.56,88.48,87.93"
Rec-024_90s_1,3,7,5096,core,320,339,0.0,9.0,0.8722,323,334,327,335,1.0,True,93.0351,99.331,89.5616,2.9548,92.2753,"99.33,96.62,94.99,93.36,92.28,92.28,91.19,90.65,90.10,89.56"
Rec-024_90s_1,3,8,5097,core,325,339,0.0,5.0,0.8722,328,334,332,335,1.0,True,93.1437,98.7882,89.5616,2.7802,92.5467,"98.79,96.62,94.99,93.36,91.73,93.36,91.73,91.19,90.10,89.56"
Rec-024_90s_1,3,9,5098,core,334,339,0.0,9.0,0.8752,337,334,341,335,1.0,True,93.198,96.0745,91.1898,1.9576,93.0894,"96.07,95.53,94.45,94.45,94.99,91.19,91.19,91.19,91.19,91.73"
Rec-024_90s_1,3,10,5099,core,338,339,0.0,4.0,0.8764,341,334,345,335,1.0,True,96.3459,101.502,93.3608,2.7164,96.0745,"101.50,99.33,98.25,97.70,97.16,94.99,94.45,93.36,93.36,93.36"
Rec-024_90s_1,3,11,5100,core,351,339,0.0,13.0,0.866,354,334,358,335,0.6,False,88.259,102.0447,78.1639,7.9404,87.9333,"102.04,98.25,90.10,82.51,78.71,94.45,91.73,85.76,80.88,78.16"
Rec-024_90s_1,3,12,5101,core,354,339,0.0,3.0,0.8594,357,334,361,335,0.0,False,80.1178,87.9333,76.5357,3.477,78.978,"87.93,83.59,79.79,78.16,77.08,83.05,79.79,78.16,77.08,76.54"
Rec-025_30s_1,1,1,3158,core,289,339,0.0,0.0,0.8873,292,334,296,335,1.0,True,85.491,92.2753,80.8776,3.7934,84.6769,"92.28,91.19,88.48,85.76,84.68,84.68,83.59,82.51,80.88,80.88"
Rec-025_30s_1,1,2,3159,core,297,339,0.0,8.0,0.8999,300,334,304,335,1.0,True,85.2196,93.3608,80.3349,3.9213,84.4055,"93.36,90.10,87.39,85.22,83.59,85.76,83.59,81.96,80.88,80.33"
Rec-025_30s_1,1,3,3160,core,301,339,0.0,4.0,0.8923,304,334,308,335,1.0,True,85.6538,94.4463,80.3349,4.2515,84.9482,"94.45,91.19,87.93,85.76,83.59,85.76,84.13,82.51,80.88,80.33"
Rec-025_30s_1,1,4,3161,core,306,339,0.0,5.0,0.8874,309,334,313,335,1.0,True,84.4055,91.7325,79.7922,3.5362,83.5914,"91.73,89.02,86.31,84.13,83.05,84.68,83.05,81.42,80.88,79.79"
Rec-025_30s_1,1,5,3162,core,310,339,0.0,4.0,0.8821,313,334,317,335,1.0,True,85.1653,93.3608,80.3349,3.9021,84.4055,"93.36,90.10,87.39,84.68,84.13,85.22,83.59,81.96,80.88,80.33"
Rec-025_30s_1,1,6,3163,core,315,339,0.0,5.0,0.8807,318,334,322,335,1.0,True,84.4598,91.7325,80.3349,3.4685,83.5914,"91.73,89.02,86.31,84.13,83.05,84.68,83.05,81.42,80.88,80.33"
Rec-025_30s_1,1,7,3164,core,320,339,0.0,5.0,0.8766,323,334,327,335,1.0,True,84.4055,90.1043,81.4204,2.6947,84.1341,"90.10,87.93,85.76,84.13,84.13,84.13,83.05,81.96,81.42,81.42"
Rec-025_30s_1,1,8,3165,core,324,339,0.0,4.0,0.8786,327,334,331,335,1.0,True,86.1423,92.2753,83.0486,2.8724,85.7624,"92.28,89.56,87.93,86.31,85.76,85.76,84.13,83.59,83.05,83.05"
Rec-025_30s_1,1,9,3166,core,333,339,0.0,9.0,0.8845,336,334,340,335,1.0,True,88.1504,94.4463,84.6769,2.8431,87.9333,"94.45,91.19,89.56,88.48,87.93,87.93,86.31,85.76,85.22,84.68"
