specimen,pausa_s,peso_rottura_kg,pixel_row,pixel_col,pixel_id,T1_px,T2_px,T3_px,T4_px,T5_px,T6_px,delta_T_px,T_mean_px,T_std_px,T_max_px,T_min_px,fit_ok,fit_error,T0,A,alpha,T_inf,t_star,heating_rate_t0,sigma_T0,sigma_A,sigma_alpha,bed_temp_C,bed_temp_std_C
Rec-022_10s_1,10,2.5,0,0,0,115.11999999999999,116.35272727272728,119.73666666666665,121.31142857142856,122.03500000000001,119.80071428571429,4.680714285714302,119.0594227994228,2.748782081721126,122.03500000000001,115.11999999999999,True,,111.90896397768107,9.421045447602127,0.012987829921337905,121.3300094252832,243.7491275792212,0.12235893595465117,17.025852103314158,13.36040362885221,0.05612762616699652,68.711,1.303
Rec-022_10s_1,10,2.5,0,1,1,105.79272727272728,108.11363636363639,110.54600000000002,112.27857142857144,112.81,111.89214285714287,6.0994155844155955,110.23884632034634,2.7525818617701026,112.81,105.79272727272728,True,,102.74460427468176,10.32660556716769,0.01141264009149868,113.07120984184945,274.1047220376913,0.11785383270495144,8.472674700993634,6.574326777511996,0.026709566570166227,68.711,1.303
Rec-022_10s_1,10,2.5,0,2,2,100.16818181818184,103.02999999999999,104.86666666666666,106.30785714285715,106.92916666666663,106.50214285714284,6.333961038961007,104.63400252525253,2.6126625234791643,106.92916666666663,100.16818181818184,True,,97.13247933730966,10.245322401136418,0.011682189864835893,107.37780173844608,269.1019512774758,0.119687801516532,6.559529327856041,5.107643806189935,0.01949111253469814,68.711,1.303
Rec-022_10s_1,10,2.5,0,3,3,96.32272727272729,99.42909090909092,101.104,102.35500000000002,102.58583333333331,102.58714285714287,6.264415584415573,100.73063239538241,2.481532305200803,102.58714285714287,96.32272727272729,True,,92.92647634968652,10.166764081006418,0.01359535819066866,103.09324043069294,241.82266805728872,0.13822079932130654,6.6776785616769345,5.40344379113202,0.01879509876818957,68.711,1.303
Rec-022_10s_1,10,2.5,0,4,4,93.60727272727273,97.06090909090909,98.24666666666667,99.91214285714285,99.37583333333333,100.2992857142857,6.692012987012973,98.08368506493507,2.49129253180498,100.2992857142857,93.60727272727273,True,,90.03196539893946,10.584157533048527,0.013957608474470145,100.61612293198799,240.31312213010807,0.14772952687840515,7.622016609467113,6.094039186512191,0.02136886633420641,68.711,1.303
Rec-022_10s_1,10,2.5,1,0,5,97.35909090909091,100.95727272727272,102.76866666666665,104.02214285714285,104.62333333333333,104.67999999999999,7.320909090909083,102.40175108225107,2.8425721352236057,104.67999999999999,97.35909090909091,True,,93.83854067864601,11.44482219508101,0.012487090462433445,105.28336287372701,265.9583643254666,0.14291253007644267,6.543951324959174,5.006350983492912,0.018731784836406935,68.711,1.303
Rec-022_10s_1,10,2.5,1,1,6,94.54545454545455,98.09818181818181,99.946,101.15285714285713,101.6825,101.88857142857145,7.343116883116906,99.55226082251083,2.824735745824651,101.88857142857145,94.54545454545455,True,,91.02752652576824,11.407146699443972,0.012498198754997594,102.43467322521221,265.5293015473602,0.14256878667706557,5.547734882781375,4.281450457538884,0.014813449993246781,68.711,1.303
Rec-022_10s_1,10,2.5,1,2,7,92.27636363636363,95.7781818181818,97.55733333333332,98.90642857142859,99.24083333333334,99.48500000000001,7.208636363636387,97.20735678210679,2.781699068014255,99.48500000000001,92.27636363636363,True,,88.75880488118099,11.270535369878232,0.01262203670072273,100.02934025105922,262.75073743079975,0.14225711107539665,5.223976067412445,4.142840715962723,0.01307200745698884,68.711,1.303
Rec-022_10s_1,10,2.5,1,3,8,90.49818181818182,94.34909090909092,95.786,96.92642857142856,97.20666666666665,97.66357142857144,7.165389610389624,95.40498989898991,2.6832391712543946,97.66357142857144,90.49818181818182,True,,86.69066656029125,11.177808727806468,0.01433733472208194,97.86847528809771,239.62688043387152,0.16025998518997023,5.7297257520226115,4.80990952901485,0.013438372348978572,68.711,1.303
Rec-022_10s_1,10,2.5,1,4,9,89.16636363636363,92.91727272727272,94.12133333333333,95.76571428571428,95.26083333333334,96.57857142857142,7.412207792207795,93.96834812409811,2.679609218476801,96.57857142857142,89.16636363636363,True,,85.63246420200316,11.210915618595717,0.013010302191500058,96.84337982059888,256.8305311004267,0.1458574000413381,6.276954268799544,5.046125728460231,0.015360806354093868,68.711,1.303
